"a_name","rim_diameter_min","rim_diameter_max","manufacture"
"Dressel 1","17","18",
"Dressel 10","18","22","Cรกdiz fabric"
"Dressel 11","18","22","Cรกdiz fabric"
"Dressel 12","16","18","Dressel 12 fabric"
"Dressel 14","16","22","Dressel 14 fabric"
"Dressel 16","0","0","Dressel 16 fabric"
"Dressel 17","18","22",
"Dressel 1B similis - Lyon","0","0","Lyon fabric"
"Dressel 2-4 African","12","14","Tunisian fabric"
"Dressel 2-4 Almadrava","14","16","Almadrava fabric"
"Dressel 2-4 Baetican","0","0","Dressel 20 fabric"
"Dressel 2-4 Catalan","13","14","Pascual 1 red fabric"
"Dressel 2-4 Cilician","0","0","Dressel 2-4 Cilician fabric"
"Dressel 2-4 Cos","0","0",
"Dressel 2-4 Egyptian","13","14","Lake Mariout fabric"
"Dressel 2-4 Flat-based","10","11","Campanian 'Black Sand' fabric"
"Dressel 2-4 in Verulamium Region White Ware","11","13","Dressel 2-4 Verulamium Region White Ware fabric"
"Dressel 2-4 Italian","14","16","Campanian 'Black Sand' fabric"
"Dressel 2-4 Loire Basin","11","15","Dressel 2-4 Loire Basin fabric"
"Dressel 2-4 Lyon 2","12","13","Lyon fabric"
"Dressel 20","18","20","Dressel 20 fabric"
"Dressel 20 similis - Oliva 3","0","0","Almadrava fabric"
"Dressel 21-22","18","20","Dressel 21-22 fabric"
"Dressel 23","10","14","Dressel 20 fabric"
"Dressel 24","0","0","Dressel 24 fabric"
"Dressel 25","12","15","Dressel 25 fabric"
"Dressel 28","0","0","Dressel 28 fabric"
"Dressel 28 similis - Lyon","14","15","Lyon fabric"
"Dressel 30 - Keay 1A","11","12","Dressel 30 fabric"
"Dressel 30 - Keay 1B","12","14","Keay 1B fabric"
"Dressel 30 - Tunisian Variants","0","11","Tunisian fabric"
"Dressel 35","12","13",
"Dressel 43","6","9","Dressel 43 fabric"
"Dressel 5","12","13",
"Dressel 6A","16","17",
"Dressel 6B","15","16","Dressel 6B fabric"
"Dressel 7","18","22","Cรกdiz fabric"
"Dressel 8","18","22","Cรกdiz fabric"
"Dressel 9","18","24","Cรกdiz fabric"
"Dressel 9 & 10 similis - Lyon","15","17","Lyon fabric"
